sales_amount,zip_code
26805228.0,60619
20964145.5,60628
20036299.5,60651
19844371.5,60639
19333370.0,60634
19043721.5,60618
19019133.5,60647
18733402.5,60617
18703401.5,60620
18154487.0,60453
16492540.0,62702
16346843.0,60608
16291464.5,60609
15866073.0,60636
15251913.5,60630
14846873.5,60629
14738780.0,60638
14598572.5,60632
14581475.5,60804
14462937.5,60085
14444654.0,60622
14404116.5,60616
14009186.5,60641
13682664.5,60435
13551689.0,60623
13117719.5,60649
12900514.5,60409
12615651.5,60402
12540764.5,60016
12250183.0,60714
12070335.0,60643
11583532.5,60640
11422776.5,60411
11371844.5,60477
11143655.5,60707
11075816.0,60624
11047167.0,60706
10901270.5,60302
10799379.0,60652
10561208.5,60621
10205977.0,60426
10156520.5,60606
10014832.0,60601
9977771.0,60625
9952605.0,60101
9924831.5,60644
9889088.5,60612
9641121.0,60610
9589769.0,60525
9402054.0,60018
9294196.5,61111
9202411.5,60459
9127975.5,60805
8916112.0,60827
8791503.5,62040
8680458.0,60440
8493122.0,60803
8167691.5,60181
8104599.5,60438
8090704.5,60148
8085768.5,60106
7801050.0,60053
7795360.5,60073
7727837.5,60445
7668382.0,60076
7652732.5,62703
7619655.0,60126
7605573.0,60056
7592472.5,60637
7558157.0,61032
7537714.5,60154
7487923.0,60419
7483956.0,60615
7281214.0,60007
7242088.5,60446
7123271.5,61604
7047216.0,60188
6986803.0,61108
6944377.0,60123
6843683.0,60104
6790782.0,60660
6775563.0,62521
6772329.5,60441
6743138.5,60614
6739543.5,60130
6681417.5,60120
6671076.5,60160
6651627.5,60611
6600167.5,60087
6587319.0,62704
6566972.5,60194
6536562.5,60653
6532764.0,60107
6463146.0,61701
6408235.0,60901
6389625.0,60060
6365861.5,60656
6337912.0,60176
6274749.0,60659
6258835.0,61832
6237219.0,60005
6219384.5,60604
6127934.5,60050
6124368.5,60164
6099955.5,60626
6054878.5,61109
6002595.0,61401
5992625.0,60607
5989476.5,62201
5972249.5,62526
5966708.5,60102
5958358.0,60517
5874101.5,60452
5866622.0,60133
5821665.5,60559
5777044.0,61008
5773347.0,61554
5773163.0,60504
5772446.0,60067
5740234.5,60089
5737388.0,61103
5721015.0,60602
5672414.5,60004
5654627.0,61611
5644917.5,60613
5566976.0,60131
5507864.5,60202
5486014.5,60064
5485580.0,60506
5412282.5,60505
5403989.5,60031
5399706.5,60139
5336674.0,62234
5326709.0,60605
5297405.0,60462
5291333.5,60423
5284307.0,62301
5274932.0,60473
5267536.5,60187
5231516.0,60645
5223764.0,60655
5174385.5,60153
5141841.0,60099
5138196.5,60455
5113202.5,60002
5106531.5,60014
5102500.5,61104
5067760.5,60657
5053076.5,60603
5013145.5,61821
4995893.5,60174
4984236.5,61021
4941368.0,60466
4917590.5,61101
4914376.5,60191
4908594.0,61265
4904075.5,61350
4868862.0,60077
4779805.0,60515
4775826.5,60561
4712938.0,60478
4705786.0,60172
4686308.5,60115
4672574.5,60108
4661211.5,60068
4637729.5,60193
4611931.5,60103
4609948.5,60171
4558178.0,60431
4553412.0,60030
4533371.0,60546
4523352.0,62864
4518703.5,60448
4510481.5,60025
4439401.5,61080
4437456.0,60062
4437169.5,62206
4434304.0,60451
4426906.0,60425
4424251.5,61102
4411532.0,60543
4408559.5,62650
4393168.0,61201
4365660.0,62002
4338108.5,60527
4261404.0,60406
4231494.5,60074
4176248.5,60463
4154226.5,60457
4078584.0,60047
4046979.5,60458
4044095.5,60712
4027326.0,61704
3971933.5,62269
3968000.0,62208
3966942.5,60443
3932009.5,60020
3921897.5,62226
3902747.0,60430
3851622.5,60491
3850800.0,60177
3808124.5,61761
3798191.0,60646
3783443.0,60110
3765195.0,61364
3749775.5,60098
3746948.0,60661
3701053.0,60046
3698372.5,60185
3688077.5,62401
3631858.5,62221
3623447.5,60118
3616739.5,60008
3558157.5,61820
3538107.5,60563
3519361.5,60513
3498878.0,60538
3434401.5,60137
3399267.5,60178
3380257.0,60532
3371171.0,62223
3365407.5,61354
3352309.0,60501
3303789.0,60540
3301234.5,60415
3291269.0,60450
3269076.0,62236
3251143.0,60035
3250825.0,61081
3198195.5,60070
3174309.0,62801
3146466.0,60429
3132787.0,60633
3125052.0,61938
3108299.0,61615
3094355.5,60469
3090541.5,62959
3082478.0,60544
3072696.5,60432
3058941.0,60195
2938066.0,60155
2927268.0,60510
2901679.5,62656
2862248.5,60162
2858349.0,61107
2839947.5,60534
2830232.0,60542
2824467.5,60915
2815314.5,60465
2779516.0,60433
2772274.5,60201
2762143.0,60090
2755397.5,61244
2737181.5,61614
2727716.5,60305
2703925.5,60142
2694530.5,62025
2682667.5,60439
2676534.5,60173
2676181.0,60914
2652637.5,60048
2652564.0,62568
2642698.0,60015
2636412.5,60482
2611250.5,60666
2581535.0,60061
2577622.0,62522
2568910.5,61603
2566911.5,60475
2558884.5,62220
2543929.0,60304
2527309.5,60083
2520968.5,60417
